Genus.Species,Caste,Image CASENT,Weber's length_1,Weber's length_2,Weber's length_error_rate,Head width_1,Head width_2,Head_width_error_rate,Scape length,Mandible length_1,Mandible length_2,Mandible length_error_rate,Eye length_1,Eye length_2,Eye length_error_rate
Odontomachus.haematodus,worker,casent0103104,3.064,3.077,-0.004,1.901,1.891,0.005,,1.242,1.238,0.003,0.474,0.467,0.015
Odontomachus.relictus,worker,casent0104172,2.364,2.353,0.005,1.566,1.566,0.000,,0.971,0.989,-0.019,0.357,0.355,0.006
Odontomachus.ruginodis,worker,casent0104183,2.755,2.790,-0.013,1.531,1.540,-0.006,,0.869,0.871,-0.002,0.333,0.330,0.009
Paratrechina.longicornis,worker,casent0171035,1.017,1.016,0.001,0.463,0.463,0.000,,0.095,0.093,0.021,0.194,0.195,-0.005
Pheidole.adrianoi (minor),minor,casent0104274,0.507,0.506,0.002,0.394,0.395,-0.003,,0.101,0.100,0.010,0.099,0.101,-0.020
Pheidole.adrianoi (major),major,casent0104273,0.697,0.695,0.003,0.895,0.894,0.001,,0.201,0.202,-0.005,0.109,0.113,-0.037
Pheidole.bicarinata (minor),minor,casent0005750,0.595,0.594,0.002,0.512,0.512,0.000,,0.123,0.120,0.024,0.114,0.114,0.000
Pheidole.bicarinata (major),major,casent0102868,0.899,0.897,0.002,1.024,1.027,-0.003,,0.177,0.179,-0.011,0.123,0.122,0.008
Pheidole.floridana,minor,fmnhins0000078504,0.534,0.537,-0.006,0.432,0.429,0.007,,0.096,0.094,0.021,0.086,0.086,0.000
Pheidole.floridana,major,casent0104401,0.826,0.822,0.005,0.854,0.851,0.004,,0.192,0.187,0.026,0.106,0.106,0.000
Pheidole.carrolli (Minor),minor,casent0104287,0.792,0.802,-0.013,0.522,0.522,0.000,,0.116,0.114,0.017,0.138,0.139,-0.007
Pheidole.carrolli (Major),major,casent0104286,1.301,1.302,-0.001,1.432,1.429,0.002,,0.331,0.331,0.000,0.190,0.189,0.005
