"","time_code","Site","total","FD_veg","SR","FRich","FEve","FDiv","jost","mean_FRich_Null","mean_FEve_Null","mean_FDiv_Null","sd_FRich_Null","sd_FEve_Null","sd_FDiv_Null","time_numeric","Month","season","SES_FRich","SES_FDiv","SES_FEve"
"17",2018-03-01,"SHA11RE",128,12.7932077592353,11,8.86279767826462,0.493942810347518,0.529757824321395,2.60008417725212,7.7956158108559,0.527310731169226,0.709037818894748,1.97130520405344,0.0812016404077654,0.13644197607827,2,"Mar","DRY",-0.0482495315156034,-0.559471448754544,0.541555897342428
"18",2018-03-01,"SHA11RF",134,7.60647578364475,7,4.74008733134507,0.454418410795017,0.950696127403761,2.71944451271342,5.01656866601267,0.516995710129627,0.754443787954247,1.4037455377992,0.129806412479604,0.161724976710359,2,"Mar","DRY",-0.0677576882765878,-0.472007426312111,0.338775461062945
"19",2018-03-01,"SHA5RA",31,6.71044972144458,5,3.67525048826669,0.698387489613133,0.944995618552992,3.503312532061,3.34880621634313,0.537108599772774,0.777941484709863,1.2355806812428,0.188374962368299,0.164974232107804,2,"Mar","DRY",-0.0769796371971267,-0.4627109885716,0.23344518126951
"20",2018-03-01,"SHA5RB",41,7.60647578364475,7,4.22459086755739,0.569763861058353,0.861199535601919,3.66743607982549,5.04384838930893,0.518733476620386,0.757820603392165,1.46121594718668,0.133273361971663,0.158590214404324,2,"Mar","DRY",-0.0650927419406942,-0.481337327868331,0.32996261658091
"21",2018-04-01,"SHA10RC",170,14.9486879843922,12,8.50192802593626,0.71600829495255,0.708535989344289,3.88683137046175,6.58137804818597,0.558835980071417,0.732871009780527,3.07562033478828,0.0976917347225974,0.11659804461792,3,"Apr","DRY",0.140810697056708,0.215226222318166,0.435365876951967
"22",2018-04-01,"SHA10RD",97,15.0454097989197,12,10.2938409405415,0.463598624549893,0.700465372680103,4.47237721446939,6.6601179156974,0.5432893876737,0.733199079188056,3.00011550358918,0.0986418890237463,0.111021771666356,3,"Apr","DRY",0.144354523252591,0.226036355717827,0.431172275585921
"23",2018-04-01,"SHA10RE",126,10.9132281894034,10,1.12033351320997,0.610932316451838,0.72818579224769,5.11409825651767,4.21575260821488,0.545477327030025,0.734227388961131,2.1607245566055,0.106150507779745,0.124408268017389,3,"Apr","DRY",0.200432878822691,0.201714540944273,0.400673050445627
"24",2018-04-01,"SHA10RF",70,11.6009812499787,9,6.95763320918286,0.838273688339304,0.7258295666344,5.78485839157419,3.17942661268032,0.596215788209235,0.763353870528392,1.7908666454864,0.122268803093302,0.111693063768241,3,"Apr","DRY",0.241827187029718,0.224677843244329,0.347853636270627
"25",2018-04-01,"SHA11RA",97,6.45597713392625,5,0.0520844655193205,0.666683360727416,0.903802944281375,3.74327885243989,0.236068547152308,0.603738735689942,0.796664993259558,0.271116290434308,0.200946209568453,0.162242098259851,3,"Apr","DRY",1.59739660988117,0.154675986947648,0.211656879967044
"26",2018-04-01,"SHA11RC",84,10.7921056200582,9,3.94096906744022,0.491515435959164,0.75850270237066,5.01329899583784,3.2239858950397,0.574099315247125,0.783138566100536,1.85364647632159,0.117230055002023,0.113388219763221,3,"Apr","DRY",0.233636914457786,0.221318905307831,0.362804979983405
